QUANTITYORDERED,PRICEEACH,SALES,PRODUCTCODE,Classic Cars,Motorcycles,Planes,Ships,Trains,Trucks and Buses,Vintage Cars,Large,Medium,Small
30,95.7,2871.0,0,0,1,0,0,0,0,0,0,0,1
34,81.35,2765.9,0,0,1,0,0,0,0,0,0,0,1
41,94.74,3884.34,0,0,1,0,0,0,0,0,0,1,0
45,83.26,3746.7,0,0,1,0,0,0,0,0,0,1,0
49,100.0,5205.27,0,0,1,0,0,0,0,0,0,1,0
36,96.66,3479.76,0,0,1,0,0,0,0,0,0,1,0
29,86.13,2497.77,0,0,1,0,0,0,0,0,0,0,1
48,100.0,5512.32,0,0,1,0,0,0,0,0,0,1,0
22,98.57,2168.54,0,0,1,0,0,0,0,0,0,0,1
41,100.0,4708.44,0,0,1,0,0,0,0,0,0,1,0
37,100.0,3965.66,0,0,1,0,0,0,0,0,0,1,0
23,100.0,2333.12,0,0,1,0,0,0,0,0,0,0,1
28,100.0,3188.64,0,0,1,0,0,0,0,0,0,1,0
34,100.0,3676.76,0,0,1,0,0,0,0,0,0,1,0
45,92.83,4177.35,0,0,1,0,0,0,0,0,0,1,0
36,100.0,4099.68,0,0,1,0,0,0,0,0,0,1,0
23,100.0,2597.39,0,0,1,0,0,0,0,0,0,0,1
41,100.0,4394.38,0,0,1,0,0,0,0,0,0,1,0
46,94.74,4358.04,0,0,1,0,0,0,0,0,0,1,0
42,100.0,4396.14,0,0,1,0,0,0,0,0,0,1,0
41,100.0,7737.93,0,0,1,0,0,0,0,0,1,0,0
20,72.55,1451.0,0,0,1,0,0,0,0,0,0,0,1
21,34.91,733.11,0,0,1,0,0,0,0,0,0,0,1
42,76.36,3207.12,0,0,1,0,0,0,0,0,0,1,0
24,100.0,2434.56,0,0,1,0,0,0,0,0,0,0,1
66,100.0,7516.08,0,0,1,0,0,0,0,0,1,0,0
26,100.0,5404.62,1,1,0,0,0,0,0,0,0,1,0
29,100.0,7209.11,1,1,0,0,0,0,0,0,1,0,0
38,100.0,7329.06,1,1,0,0,0,0,0,0,1,0,0
37,100.0,7374.1,1,1,0,0,0,0,0,0,1,0,0
45,100.0,10993.5,1,1,0,0,0,0,0,0,1,0,0
21,100.0,4860.24,1,1,0,0,0,0,0,0,0,1,0
34,100.0,8014.82,1,1,0,0,0,0,0,0,1,0,0
23,100.0,5372.57,1,1,0,0,0,0,0,0,0,1,0
42,100.0,7290.36,1,1,0,0,0,0,0,0,1,0,0
47,100.0,9064.89,1,1,0,0,0,0,0,0,1,0,0
35,100.0,6075.3,1,1,0,0,0,0,0,0,0,1,0
29,100.0,6463.23,1,1,0,0,0,0,0,0,0,1,0
34,100.0,6120.34,1,1,0,0,0,0,0,0,0,1,0
32,100.0,7680.64,1,1,0,0,0,0,0,0,1,0,0
21,100.0,4905.39,1,1,0,0,0,0,0,0,0,1,0
34,100.0,8014.82,1,1,0,0,0,0,0,0,1,0,0
37,100.0,7136.19,1,1,0,0,0,0,0,0,1,0,0
47,100.0,10172.7,1,1,0,0,0,0,0,0,1,0,0
48,100.0,11623.7,1,1,0,0,0,0,0,0,1,0,0
40,100.0,6000.4,1,1,0,0,0,0,0,0,0,1,0
26,100.0,3003.0,1,1,0,0,0,0,0,0,0,1,0
30,100.0,3944.7,1,1,0,0,0,0,0,0,0,1,0
32,100.0,5691.84,1,1,0,0,0,0,0,0,0,1,0
41,100.0,4514.92,1,1,0,0,0,0,0,0,0,1,0
36,100.0,8254.8,1,1,0,0,0,0,0,0,1,0,0
24,100.0,2416.56,1,1,0,0,0,0,0,0,0,0,1
23,100.0,4140.23,1,1,0,0,0,0,0,0,0,1,0
50,100.0,12001.0,1,1,0,0,0,0,0,0,1,0,0
39,99.91,3896.49,2,0,1,0,0,0,0,0,0,1,0
29,96.34,2793.86,2,0,1,0,0,0,0,0,0,0,1
27,100.0,3307.77,2,0,1,0,0,0,0,0,0,1,0
37,100.0,5192.95,2,0,1,0,0,0,0,0,0,1,0
37,100.0,5016.83,2,0,1,0,0,0,0,0,0,1,0
27,100.0,3660.93,2,0,1,0,0,0,0,0,0,1,0
42,100.0,4695.6,2,0,1,0,0,0,0,0,0,1,0
38,96.34,3660.92,2,0,1,0,0,0,0,0,0,1,0
24,100.0,3025.92,2,0,1,0,0,0,0,0,0,1,0
23,100.0,3009.09,2,0,1,0,0,0,0,0,0,1,0
47,100.0,5422.39,2,0,1,0,0,0,0,0,0,1,0
22,100.0,2852.08,2,0,1,0,0,0,0,0,0,0,1
